conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.98E+18,2025-05-30 13:53:24+00:00,1,"ga minta banyak tahun depan
1. iPhone 15 warna pink
2. masuk SMA yang dipengin
3. dapet nilai tka bagus-bagus
4. rumah makin bagus
5. JADII KAYAAAA DI TAHUN 2026",1.98E+18,,,in,,0,0,0,https://x.com/nastronoot/status/1984355577510969680,1.81E+18,nastronoot
1.94E+18,2025-05-30 15:07:57+00:00,0,kalian belajar tka mtk di ch yt mana gais??,1.94E+18,,,in,,0,0,0,https://x.com/aeroxbahenol/status/1939656373685661779,1.52E+18,aeroxbahenol
1.94E+18,2025-05-30 15:25:20+00:00,0,"guys masa guru gue bilang buat yang gelombang 1 TKA jgn pelit pelit sama gelombang 2, intinya tuh kita disuruh bocorin soalnya, dan beliau jg bilang buat bawa contekan kecil trus disuruh buat nyelipin buat dibawa masuk😧😧",1.94E+18,,,in,,0,0,0,https://x.com/theyycallmebass/status/1939692218438373887,494788885,theyycallmebass
1.94E+18,2025-05-30 15:59:51+00:00,0,"wah hari ini eps 3 tayang, itu tandanya ajalku sdh di depan mata (bertemu tka) 🤗♥️",1.94E+18,,,in,,0,10,0,https://x.com/lin0ur/status/1939594760840417340,1.81E+18,lin0ur
1.94E+18,2025-05-30 17:00:03+00:00,0,TKA beberapa hari lagi dan aku blom ngerti sm mtk,1.94E+18,,,in,,0,3,0,https://x.com/vivierayne/status/1939611156244808011,1.88E+18,vivierayne
1.94E+18,2025-05-31 01:14:12+00:00,0,tka tka tka tka tka tka hadehh,1.94E+18,,,in,,0,2,0,https://x.com/Aerlangga333/status/1939704429646901467,1.45E+18,Aerlangga333
1.94E+18,2025-05-31 05:43:49+00:00,0,what if gua kabur hari pertama tka,1.94E+18,,,in,,0,1,0,https://x.com/scftbunniesz/status/1939694398520041707,1.80E+18,scftbunniesz
1.94E+18,2025-05-31 07:05:20+00:00,0,mikirin tka bkn nangis mikirin soal nangis mikirin gmn gw nnti kuliah dewasa kerja nikah 😭😭😭😭😭💔💔💔,1.94E+18,,,in,,0,0,0,https://x.com/inaaishh/status/1939646507663438235,1.81E+18,inaaishh
1.97E+18,2025-05-31 07:29:57+00:00,1,"Wait aku gatau temen2ku dan aku sendiri yang memang basic inggrisnya bagus entah kenapa TKA engnya jelek, sebetulnya ini questionable things sih kenapa hasilnya bisa begitu",1.97E+18,,,in,,0,0,0,https://x.com/bitsofnab/status/1972891031495639158,1.94E+18,bitsofnab
1.99E+18,2025-05-31 10:15:24+00:00,2,"sampai sekarang ak masih bingung jurusan ak...dan untuk tka dari sekolah gabisa linjur, so ada saran ga buat mapel peminatan mtk l, fisika, b. Jepang. SEBENARNYA GAMAU BGT FISIKA tapi kalau ngambil teknik.....",1.99E+18,,,in,,0,1,0,https://x.com/nayonaizze/status/1985907398528340316,1.50E+18,nayonaizze
1.94E+18,2025-05-31 10:31:01+00:00,0,"ah elah sibuk tka, tpi gpp aku sempetin buat main",1.94E+18,,,in,,0,1,0,https://x.com/allusde/status/1939509178944672242,8.78E+17,allusde
1.94E+18,2025-05-31 11:53:54+00:00,0,"kegiatan yang pengen dilakuin abis TKA :
1. main roblox dr pagi sampe malem",1.94E+18,,,in,,0,1,0,https://x.com/nayfttmitb/status/1939271995872731498,1.54E+18,nayfttmitb
2.00E+18,2025-05-31 12:28:10+00:00,3,"@Aidachoirunnisa @maroshiv Bhs inggris TKA itu tergolong susah karena setiap anak mendapatkan soal berbeda ada yg dari 25 soal, 13 soalnya multichoice salah 1 tidak ada skornya.",2.00E+18,,Aidachoirunnisa,in,,0,1,0,https://x.com/screttnna/status/2003984953210798339,1.73E+18,screttnna
1.94E+18,2025-05-31 14:17:03+00:00,0,"gusy jumlah soal tka tuh udah di kasi tau blm si? dan untuk skor tka bsk, kira² orang lain bisa lihat skor kita ga? 😔😔😔",1.94E+18,,,in,,0,0,0,https://x.com/scftware/status/1939704204505022744,1.38E+18,scftware
1.94E+18,2025-05-31 16:08:47+00:00,0,"selamat pagi semuanya, gua mau soft spoken hari ini bcs h-2 TKA (sedang memperbaiki kondisi psikis)",1.94E+18,,,in,,0,1,0,https://x.com/anargyavss/status/1939553631356981407,1.55E+18,anargyavss
1.94E+18,2025-05-31 17:12:07+00:00,0,eh yaallah thread jalur langit tka itu kemana guys,1.94E+18,,,in,,0,5,0,https://x.com/mileabatagor/status/1939699888754954604,1.79E+18,mileabatagor
1.94E+18,2025-05-31 22:43:51+00:00,0,"tka tka tka, a nya astaghfirullah, k nya kuatkan kami yaallah, t nya apa guys 😮‍💨",1.94E+18,,,in,,0,0,0,https://x.com/k4kikukek0/status/1939554789479882969,1.53E+18,k4kikukek0
1.99E+18,2025-06-05 09:35:24+00:00,63,Mau nanya dong untuk kakak² sch! cantik &amp; ganteng. Materi utbk itu susah gak? Dan apakah ada saran baiknya lebih fokus ke tka atau utbk untuk anak kelas 12?,1.99E+18,,,in,,1,4,6,https://x.com/ziellosr/status/1985185318228853005,1.80E+18,ziellosr
1.93E+18,2025-06-08 00:09:52+00:00,3,TKA lu bener bener menyusahkan semua org ya puki🥰🙏🏻🙏🏻,1.93E+18,,,in,,0,0,0,https://x.com/whosshaerin/status/1931585828595421628,1.75E+18,whosshaerin
1.93E+18,2025-06-08 05:35:23+00:00,0,SIAPASIH TKA TKA IT….. IHATETKA!!!,1.93E+18,,,in,,0,1,0,https://x.com/homophoebec/status/1932021944322494661,1.43E+18,homophoebec
1.93E+18,2025-06-08 07:46:00+00:00,0,eh kok gw aga nyesel beli buku un/us kmrn kenapa ga beli yg tka lgsg yaa???? isinya sama gasi guiiisss pwiss dua enam pipol wajib rep,1.93E+18,,,in,,0,2,0,https://x.com/spidermuy/status/1932078915939705085,1.85E+18,spidermuy
1.93E+18,2025-06-08 09:46:55+00:00,0,tka 2026 ni konsepnya gimana si guys? yg akt 26 rep dong mw tau wkwkwkw,1.93E+18,,,in,,0,4,0,https://x.com/zieecakes/status/1931988971170803964,1.82E+18,zieecakes
1.93E+18,2025-06-08 14:24:03+00:00,0,wow jumat ada to tka di sekolah,1.93E+18,,,in,,0,0,0,https://x.com/croiffel/status/1932239095268524367,1.90E+18,croiffel
1.93E+18,2025-06-08 15:23:57+00:00,0,SNBT tahun 2026 tuh nanti ada TKA kayak tahun 2022 atau TPS semua kayak tahun ini?,1.93E+18,,,in,,0,0,0,https://x.com/cipalogy/status/1931895633105056058,1.39E+18,cipalogy
1.93E+18,2025-06-08 15:34:03+00:00,0,bisa ga ya TKA ini susulan aja tapi taun pas bulan februari aja muak tau ga sih,1.93E+18,,,in,,0,0,0,https://x.com/xinamoone_/status/1932123748150411617,1.78E+18,xinamoone_
1.93E+18,2025-06-08 15:35:04+00:00,2,"ptn! Untuk yang pernah ikut utbkplus unair/mandiri reguler unair, ada kah yang bersedia aku dm, mau tanya-tanya soal TKA dan penilaiannya (uner dikit bgt infonya...)",1.93E+18,,,in,,0,0,0,https://x.com/sbmptnfess/status/1931618701142585658,1.21E+18,sbmptnfess
1.93E+18,2025-06-08 15:46:43+00:00,3,"MENDING RUANG GURU ATAU PAHAMIFY???? ATAU APA.....
(include tka, snbt, materi kls 10-12)",1.93E+18,,,in,,0,9,0,https://x.com/pacificoceann/status/1931999638829314380,1.74E+18,pacificoceann
1.93E+18,2025-06-08 17:01:05+00:00,0,akt 26 itu jadinya SMA apa TKA?,1.93E+18,,,in,,0,8,0,https://x.com/occyeansnic/status/1932057380541624753,1.79E+18,occyeansnic
1.93E+18,2025-06-08 17:08:45+00:00,3,"Ptn! Guys, skor utbk aku 621. Mau ikut utul ugm pil 1 fk, pil 2 bio. Kira kira bundir ga ya? Sama TKA buat bio mapel apa aja?",1.93E+18,,,in,,0,1,0,https://x.com/sbmptnfess/status/1932142154807435521,1.21E+18,sbmptnfess
1.93E+18,2025-06-09 00:49:37+00:00,1,“selsai kalian uas nanti langsung to tka” ingin bernafas,1.93E+18,,,in,,0,2,0,https://x.com/dhrieeph/status/1932062719785808131,1.81E+18,dhrieeph
1.93E+18,2025-06-09 02:06:26+00:00,0,"teman-teman mau nanya, beli buku tka itu nanti sesuai prodi yang kita pilih kan? misal aku ambil hukum, berarti versi IPS kan yang aku belii",1.93E+18,,,in,,0,2,0,https://x.com/chill0ra/status/1931649129513681053,1.51E+18,chill0ra
1.93E+18,2025-06-09 02:23:06+00:00,2,"Gaiss, ada yg punya list materi buat TKA yang wajib nggakk?? Yang matematika sama bahasa indo+inggris??",1.93E+18,,,in,,0,0,0,https://x.com/Cee_lestial/status/1932067826304737669,1.90E+18,Cee_lestial
1.93E+18,2025-06-09 02:26:21+00:00,1,dikirim pap mata sayu sm berondong tuh artinya apa 😭😭😭😭 yaampun dek dek mending km belajar tka soalny aku juga sainganmu tahun depan,1.93E+18,,,in,,0,1,0,https://x.com/kayeeshaz/status/1932082522755891604,1.31E+18,kayeeshaz
1.98E+18,2025-06-09 04:33:24+00:00,229,Buten! udah ada yg dpt file soal to tka kmrn ga ya?... sender mau review:(,1.98E+18,,,in,,9,14,24,https://x.com/gilbhas/status/1977220318939988361,116528128,gilbhas
1.93E+18,2025-06-09 04:45:27+00:00,0,gais TKA tuh khusus snbp aja ya? brti untuk utbk tetep sama kayak tahun ini?,1.93E+18,,,in,,0,0,0,https://x.com/owyenpus/status/1932013939522666779,1.46E+18,owyenpus
1.93E+18,2025-06-09 05:16:01+00:00,1,Stud! Ada tips buat belajar cepet paham di beberapa materi TKA fisika ga ya? Udah hopeless bgt... emg susah bgt ya?,1.93E+18,,,in,,0,1,0,https://x.com/snbtfess/status/1931985904106696753,1.52E+18,snbtfess
1.93E+18,2025-06-09 06:02:42+00:00,1693,"to do liburan kenaikan kls akt 26 = 
1. Belajar TKA (wajib)
2. Belajar UTBK (wajib)
3. Ibadah (wajib)
4. Tidur (opsional)",1.93E+18,,,in,,59,36,595,https://x.com/wawabelajar/status/1932106262403244176,1.90E+18,wawabelajar
1.93E+18,2025-06-09 06:09:50+00:00,0,TKA ada listening ga yaa,1.93E+18,,,in,,0,0,0,https://x.com/raaaaiineeyyy/status/1932080665019011515,1.59E+18,raaaaiineeyyy
1.93E+18,2025-06-09 06:51:02+00:00,0,"hmmmmm masih mempertimbangkan beli buku tka ap ngga, i mean ak masih gtw modelan soalnya sih, tp ya ak mau review materi dl esp biokimia,,,, hmmmmm beli g y buku te ka a hmmmmm ap nunggu wangsit muncul yy",1.93E+18,,,in,,0,0,0,https://x.com/imtherains/status/1931736746108342440,1.88E+18,imtherains
1.93E+18,2025-06-09 08:00:21+00:00,0,eh aku kapan ya mulai nyicil belajar tka…………,1.93E+18,,,in,,0,2,0,https://x.com/scftbunniesz/status/1932061814889824446,1.80E+18,scftbunniesz
1.93E+18,2025-06-09 08:05:08+00:00,0,Masih ga ngerti gua TKA TKA taun depan? Berarti subtes utbk diganti TKA gitu?,1.93E+18,,,in,,0,5,0,https://x.com/wonderlfull/status/1931876302866583589,1.77E+18,wonderlfull
1.93E+18,2025-06-09 08:17:20+00:00,0,"ngedip bentar osn h-17
ini gua blm nyentuh tka samsek.........
hari selasa baru psat",1.93E+18,,,in,,0,0,0,https://x.com/rmwfff/status/1931503909954281581,1.61E+18,rmwfff
1.93E+18,2025-06-09 08:37:15+00:00,0,"ya Allah jauhkan hamba dari rasa malas, tka su dekat ya Allah",1.93E+18,,,in,,0,2,2,https://x.com/niannnbee/status/1932042047126667652,1.71E+18,niannnbee
1.93E+18,2025-06-09 08:58:12+00:00,0,Yang anak inten udh pada bahas tka blm,1.93E+18,,,in,,0,0,0,https://x.com/kejaaanaaa/status/1931900647470932278,1.77E+18,kejaaanaaa
1.93E+18,2025-06-09 08:59:43+00:00,0,Ini TKA klo jadi manusia udah gw kirim ke barak,1.93E+18,,,in,,0,0,0,https://x.com/NannzZoya/status/1932310896178851952,1.73E+18,NannzZoya
1.93E+18,2025-06-09 09:56:32+00:00,0,fomo bgt liat 26 yang lain jd satu ada groupiesnya gt pls angkut mau ikut membantai tka bersama sama 🐌☮️🧛🏿‍♀️💓🙈💃🏻,1.93E+18,,,in,,0,3,0,https://x.com/kasidahciinta/status/1931760322341474747,1.86E+18,kasidahciinta
1.93E+18,2025-06-09 10:05:33+00:00,1,Eh wwwww semangat TKA nya 26 ☝️☝️ (adikku 26),1.93E+18,,,in,,0,2,0,https://x.com/morphinbluu/status/1932058822157508648,1.74E+18,morphinbluu
1.93E+18,2025-06-09 10:28:21+00:00,1,pgn ngerjain 13 bab Bhs inggris di buku tka,1.93E+18,,,in,,0,2,0,https://x.com/tumblrrpink/status/1931718874472518016,1.72E+18,tumblrrpink
1.93E+18,2025-06-09 11:37:11+00:00,1,"jadi gimana guys, kalian fokus utbk atau tka dulu nii?",1.93E+18,,,in,,0,5,0,https://x.com/roulettefabs/status/1932016206216872423,1.67E+18,roulettefabs
1.93E+18,2025-06-09 11:48:14+00:00,0,"temaan teman, ada saran atau ada yang open private untuk TKA mapel Fisika ngga yaa, terima kasih banyak&lt;3",1.93E+18,,,in,,1,0,0,https://x.com/lo0vinmarkie/status/1932095787623993675,1.90E+18,lo0vinmarkie
1.93E+18,2025-06-09 12:41:15+00:00,2,"lu pada yg akt 26 klo bingung blajar tka, makek ini coba bisa ni ngebantu klen",1.93E+18,,,in,,0,0,0,https://x.com/strespkpm/status/1931955090262569312,1.77E+18,strespkpm
1.93E+18,2025-06-09 12:49:10+00:00,0,"dahlah nanti juga masuk undangan pil 1
dan tka nembus 100+++ #pede",1.93E+18,,,in,,0,1,0,https://x.com/buniieey/status/1931956888402530752,1.81E+18,buniieey
1.93E+18,2025-06-09 12:54:53+00:00,0,"Hi izin qrt ya! Cb pake rg, yg rubelnya aj udh incl vids pembelajaran, rangkuman, latsol, bank soal+drill soal yg up2date bgt~ materi dia jg lengkap sub2nya. Referensi soal2nya jg relevan bs prsiapan tka+utbk. Cus kl mw tnya2/beli dm ajaaa ak jg jual sharingnya jd lbh murce😍",1.93E+18,,,in,,0,0,0,https://x.com/notyourbAa3/status/1932100452436558027,2960675250,notyourbAa3
1.93E+18,2025-06-09 13:06:47+00:00,0,boleh buat peraturan ga boleh sebut tka 5 kali seminggu aja,1.93E+18,,,in,,0,0,0,https://x.com/yuawsis/status/1931758389698408940,1.93E+18,yuawsis
1.93E+18,2025-06-09 13:10:23+00:00,0,ada yang minat buat belajar tka english gak ? Aku open class bagi yang mau ☺️,1.93E+18,,,in,,0,0,0,https://x.com/bredochocolate/status/1932097361297477901,1.55E+18,bredochocolate
1.93E+18,2025-06-09 13:12:25+00:00,1,"Ptn! mau nanya buat sm unair yang mandiri reguler tahun lalu tpa tka nya berapa soal dan berapa jam yaa, sama apakah kakak yang udh lolos smua ada rekomendasi bim bel on line?",1.93E+18,,,in,,0,0,0,https://x.com/sbmptnfess/status/1931943341366927401,1.21E+18,sbmptnfess
1.93E+18,2025-06-09 13:28:52+00:00,7,"Bermodalkan sisa langganan mipy, studytwt dan grup 26 ku yang bejibun itu, ak udah siap membantai tka dan utbk #Allahbersamaangkatan26 (tapi baru mulai pas udah nyampe rumah)",1.93E+18,,,in,,1,2,0,https://x.com/aayyriinn/status/1932039268115120231,1.90E+18,aayyriinn
1.93E+18,2025-06-09 13:30:40+00:00,0,ADUHHH dari sekian banyaknya TKA KNP GUA PILIHA FISIKA MTK MINAT DAN KIMIA 🤬🤬🤬,1.93E+18,,,in,,0,0,0,https://x.com/berrycaqe/status/1931736488238260303,1.80E+18,berrycaqe
1.93E+18,2025-06-09 14:14:44+00:00,1,Akulah PP 4 jam itu. Alias info loker plis,1.93E+18,,,in,,0,2,0,https://x.com/theyycallmebass/status/1931999259664240762,494788885,theyycallmebass
1.93E+18,2025-06-09 14:21:41+00:00,13,pengen punya pacar terus ntar kita study date buat prepare tka bersama 🤓🤓🤓🤓🤓,1.93E+18,,,in,,0,5,4,https://x.com/scftbunniesz/status/1932096799394943173,1.80E+18,scftbunniesz
1.93E+18,2025-06-09 14:29:04+00:00,0,apa ya kayak mau belajar tka tapi akunya bingung liat materi nya jdi switch ke bahasa🙂,1.93E+18,,,in,,0,0,0,https://x.com/tawhowalik/status/1932089040075108685,1.80E+18,tawhowalik
1.93E+18,2025-06-09 14:54:58+00:00,0,"planning libur smt dah numpuk yah... belajar tka + utbk gaada tidur tiduran marathon drakor, sekarang marathon materi tka 🥹",1.93E+18,,,in,,0,0,0,https://x.com/cheezeyogurt/status/1932108848036495494,1.80E+18,cheezeyogurt
1.93E+18,2025-06-09 15:21:47+00:00,0,"Kocakk, buku tka ku baru dikirim",1.93E+18,,,in,,0,0,0,https://x.com/cmirrourball/status/1932413700205609091,1.73E+18,cmirrourball
1.93E+18,2025-06-09 15:25:48+00:00,0,"mending langsung belajar buat utbk, atau belajar buat tka dulu???. bingung bangettt, atau harus belajar buat dua duanya??, tapi nilai raportku juga pas pasan sih.",1.93E+18,,,in,,0,1,0,https://x.com/noddlechickenn/status/1931993986480447500,1.74E+18,noddlechickenn
1.93E+18,2025-06-09 15:28:02+00:00,4,guys besok terkahir ujian SO RELIEVEDDD akhirnya bisa belajar tka utbk 😛💃🏿,1.93E+18,,,in,,0,7,0,https://x.com/asheewawu/status/1932055391162302843,1.51E+18,asheewawu
1.93E+18,2025-06-09 15:40:19+00:00,1,Menjelang tka dan utbk ini gw harus menutup hati biar tiba tiba ga goblok karna cinta,1.93E+18,,,in,,0,8,0,https://x.com/kejaaanaaa/status/1931733948541128869,1.77E+18,kejaaanaaa
1.93E+18,2025-06-09 16:03:24+00:00,1,Ak bnr bnr ngehindar bgt dr kimia di tka tp JURUSAN YG AK MAU KIMIA TUH DIBUTUHIN BGTT😩😩😩 aku takut gbs soalnya aku tuh kurang paham sama soal soal kimia😫😫😫,1.93E+18,,,in,,0,8,0,https://x.com/12maimui/status/1931935652461113856,1.90E+18,12maimui
1.93E+18,2025-06-09 16:13:40+00:00,1,teman-temannn.. adakah yang punya rekomendasi channel ytb buat belajar tka?? tia yaa!,1.93E+18,,,in,,0,1,0,https://x.com/ohyulunhas/status/1932067371461808483,1.92E+18,ohyulunhas
1.93E+18,2025-06-09 17:12:53+00:00,0,"door, siapa disini yang kelas 11 mauk naik kelas 12? PUSING DEH GUA MIKIRIN TKA",1.93E+18,,,in,,0,1,0,https://x.com/myungnyangho/status/1931739676018356624,1.86E+18,myungnyangho
1.93E+18,2025-06-09 18:26:01+00:00,3560,Apa sih tka gua udah SMA bukan TKA,1.93E+18,,,in,,60,69,631,https://x.com/kejaaanaaa/status/1931984699444134210,1.77E+18,kejaaanaaa
1.93E+18,2025-06-10 00:12:17+00:00,0,yang udah sm unair dan milih tka nya biokim review dongg 🥹,1.93E+18,,,in,,0,1,0,https://x.com/sleepyvra/status/1932291013504286800,1.80E+18,sleepyvra
1.93E+18,2025-06-10 00:51:14+00:00,1,"mau nanyaa dongg, tka tuh mapel pilihannya satu atau dua yaa? aku bingung mau beli buku tka yy saintek apa soshum, soalnya kalo 2 rencananya mau ambil matmin sama ekoo (emg kelas aku campur ipa ips😇) makasii banyakk sebelumnyaa",1.93E+18,,,in,,0,1,0,https://x.com/tongsengkelapa/status/1932465261300568264,1.42E+18,tongsengkelapa
1.93E+18,2025-06-10 01:09:35+00:00,0,bingung mau belajar TKA darimanaaa,1.93E+18,,,in,,0,0,0,https://x.com/stdyray/status/1932449742086373859,1.93E+18,stdyray
1.93E+18,2025-06-10 01:12:51+00:00,0,gw nih butuh sosialisasi tka dah,1.93E+18,,,in,,0,0,0,https://x.com/sokritmee/status/1932442351257231469,1.55E+18,sokritmee
1.93E+18,2025-06-10 01:38:34+00:00,0,guys kalo tka saintek mending gercep apa eksplorasi ya?,1.93E+18,,,in,,0,0,0,https://x.com/bertamarsya/status/1932320154727452809,1.67E+18,bertamarsya
1.93E+18,2025-06-10 01:58:09+00:00,0,Lebih kena mental ngerjain TO TKA daripada TO UTBK🥲😔,1.93E+18,,,in,,0,4,0,https://x.com/teuroha57_/status/1932712843541164353,1.44E+18,teuroha57_
1.93E+18,2025-06-10 02:42:01+00:00,1,reminder aja H-146 TKA,1.93E+18,,,in,,0,1,0,https://x.com/mutiabelajar/status/1932441972394062292,1.48E+18,mutiabelajar
1.93E+18,2025-06-10 03:24:43+00:00,0,YA ALLAH 😭😭😭😭😭😭😭 INI NYEMANGATIN AKU MAU TKA BESOK YA,1.93E+18,,,in,,0,0,0,https://x.com/jjeongsideup/status/1932386856320319940,1.54E+18,jjeongsideup
1.93E+18,2025-06-10 03:40:36+00:00,0,"ini bocah ips udh pada banyak yg belajar utbk tka meanwhile ipa masih kebantai sama ujian mafiki, bjir. dayyumnn",1.93E+18,,,in,,0,0,0,https://x.com/nkaawla/status/1932429133956747655,1.60E+18,nkaawla
1.93E+18,2025-06-10 03:46:02+00:00,0,moots yg udah TO TKA di rg siapaaa? aku mau tanya2 buat aksesnya beli atau gimana yaah?,1.93E+18,,,in,,0,1,0,https://x.com/sosshcip/status/1932418034947518694,1.41E+18,sosshcip
1.93E+18,2025-06-10 03:54:15+00:00,0,"kasian ih adik kelas ak hrs brngkt jam 6.30, gaboleh bawa kendaraan, ada un, ada tka, anak sekolah di jabar gaboleh pulang malem...",1.93E+18,,,in,,0,0,0,https://x.com/nutribloOmm/status/1932243715512549707,1.82E+18,nutribloOmm
1.93E+18,2025-06-10 04:11:28+00:00,0,kemarin aku engga belajar huftt... cape banget kemarin ulangan lisan &amp; praktik 4 jam PUNGGUNG AKU SAKITTTy____y jadi engga belajar deh:[ niatnya kemarin malam mau start tka😣,1.93E+18,,,in,,0,0,0,https://x.com/chill0ra/status/1932549725003395372,1.51E+18,chill0ra
1.93E+18,2025-06-10 04:17:32+00:00,0,tumbang guys abis menghadapi TO TKA kemarin,1.93E+18,,,in,,0,0,0,https://x.com/zeysapoe/status/1932585029701599424,1.50E+18,zeysapoe
1.93E+18,2025-06-10 04:23:30+00:00,0,Nanti mau start belajar TKA🤚🏻 mapel apa dulu enaknya?,1.93E+18,,,in,,0,5,0,https://x.com/cmirrourball/status/1932579248126189989,1.73E+18,cmirrourball
1.93E+18,2025-06-10 04:34:57+00:00,0,Karna udh lama ga nyentuh fisika nih ide bagus klo temen² ada yg mau nanya soal fisika tka ujian mandiri apa pun👌,1.93E+18,,,in,,0,1,0,https://x.com/Inuichikudo/status/1932445770999095554,1.28E+18,Inuichikudo
1.93E+18,2025-06-10 04:59:21+00:00,0,"kalo tkakan masuk nanti eligible yaa? berarti aku yang anak ips gabisa milih jurusan seperti sastra ataupun jurusan yang mengarah ke ipa yaa?? jujur baru kepikiran ini pas mau beli buku tka😭😭, jadi untuk ituu aku ambilnya buku tka ipskah?",1.93E+18,,,in,,0,0,0,https://x.com/ladythef0ntaine/status/1932563105961423005,1.49E+18,ladythef0ntaine
1.93E+18,2025-06-10 05:07:33+00:00,159,"to do list akt 26 :
1. belajar buat osn-k 
2. belajar TKA 
3. belajar utbk 
4. makan dan tidur (opsional)",1.93E+18,,,in,,4,11,55,https://x.com/littleprettygue/status/1932229293821837526,1.59E+18,littleprettygue
1.93E+18,2025-06-10 05:36:32+00:00,0,TKA 50 soal 50 menit 💀☠️,1.93E+18,,,in,,0,0,0,https://x.com/sygoogies/status/1932244536056856853,1.26E+18,sygoogies
1.93E+18,2025-06-10 05:53:20+00:00,0,"teman timun 26, kalian tka yg ambil mapel pilihan ekonomi sama mtl beli buku tidak??",1.93E+18,,,in,,0,0,0,https://x.com/naiimouwie/status/1932417392963203344,1.83E+18,naiimouwie
1.93E+18,2025-06-10 05:54:30+00:00,0,"CARA NOLAK BIAR GA JADI KETUA KELOMPOK P5 GIMANAAA??!?!
soalnya aku 2 tahun selalu jadi ketua kelompok, terus bulan ini hectic banget sama lomba lomba dan belum lagi belajar TKA",1.93E+18,,,in,,0,4,0,https://x.com/ryjiheon/status/1932380755281465776,1.81E+18,ryjiheon
1.93E+18,2025-06-10 06:00:08+00:00,1,liburan kali ini gak kayak liburan (latihan lomba &amp; BELAJAR UTBK TKA 😓😓😓😓😓😓😓),1.93E+18,,,in,,0,2,0,https://x.com/enfpt2008/status/1932324930068398316,1.82E+18,enfpt2008
1.93E+18,2025-06-10 06:03:16+00:00,0,Kalian yg belajar tka khususnya mapel kimia itu dari mana materinyaa???,1.93E+18,,,in,,0,0,0,https://x.com/lovluvlafs/status/1932266975218294996,1.86E+18,lovluvlafs
