full_text,normalized,label_num,pseudo_label,confidence_score
hai sch! adakah diantara kalian yang punya study group?? butuh temen belajar TKA 😔 kalau bisa yang sering ngasih latsol/materi yah!,hai adakah diantara kalian yang punya study group butuh teman belajar tka kalau bisa yang sering mengasih latsolmateri ya,1,neutral,0.991894782
"review nilai tka mapel pilihan

1. ekonomi: sesuai ekspektasi aku, nilainya bakalan jelek, tapi gatau kenapa kok masih dapat predikat istimewa?? 🤔🤔 (alhamdulillah)
2. sosiologi: nilai tertinggi (tapi tetep jelek bagi aku). but still, i love you, sosiologi",review nilai tka mata pelajaran pilihan ekonomi sesuai ekspektasi aku nilainya bakalan jelek tapi tidak tau kenapa kok masih dapat predikat istimewa alhamdulillah sosiologi nilai tertinggi tapi tetap jelek bagi aku but still i love you sosiologi,2,negative,0.937827885
"Teman-teman maaf ya jarang jb-jb, karena lagi belajar buat tka dan ke pressure banget aduh. Semangat buat kalian yaa angkatan 26, pasti biza 🙌🏻🌸",temanteman maaf ya jarang jbjb karena lagi belajar buat tka dan ke pressure banget aduh semangat buat kalian ya angkatan pasti bisa,0,positive,0.967480361
ada gasi thread yg kayak kalo jurusan ini ambil TKA nya mapel pilihannya ini ini gitu 🙂,ada gasi thread yang kayak kalau jurusan ini ambil tka nya mata pelajaran pilihannya ini ini begitu,2,negative,0.772344828
ini ga mw ada agenda bolos TKA satu angkatan...??? 🧍🏻‍♀️ #tka #hopeless #stress,ini tidak mau ada agenda bolos tka satu angkatan tka hopeless stres,2,negative,0.996154487
"hii aku udah selesai recovery :]] belum sepenuhnya sih tp mau start progress lg besokk, mending mulai dari belajar tka dl atau utbk gais",hii aku sudah selesai recovery belum sepenuhnya sih tapi mau start progress lagi besokk mending mulai dari belajar tka dulu atau utbk guys,1,neutral,0.636730671
"Cuman mo ngasih tw dari pengalaman bahwa
Nilai TO (TKA/UTBK) itu cmn nilai TO jadi jgn jadiin standar patokan or even dishare
Ntar ada tekanan sendiri",cuman mau mengasih tau dari pengalaman bahwa nilai try out tkautbk itu cuman nilai try out jadi jangan jadikan standar patokan atau even dishare entar ada tekanan sendiri,2,negative,0.803274632
"Dateng ke sekolah tiba-tiba di meja udah ada kartu peserta TKA mapel pilihan,mana masih mulus kaya baru di print. Apakah ini gue di suruh ngulang ngerjainn TKA kah?",datang ke sekolah tibatiba di meja sudah ada kartu peserta tka mata pelajaran pilihanmana masih mulus kaya baru di print apakah ini gue di suruh ngulang ngerjainn tka kah,2,negative,0.656071246
Mereka (TKA) bayar pajak ga? @DitjenPajakRI,mereka tka bayar pajak tidak,2,negative,0.991879404
"preloved buku inten murah
#zonauang 
t. simak ui utbk tka inten utul ugm",preloved buku inten murah zonauang t simak ui utbk tka inten utul ugm,1,neutral,0.919654071
trs ngapain tka 😇 tau gtu fokus aja utbk,terus mengapai tka tau begitu fokus saja utbk,2,negative,0.92375946
tugas yg lain minggir dlu bisa gak?! AK MW BELAJAR TKA!,tugas yang lain minggir dulu bisa tidak aku mau belajar tka,2,negative,0.983927429
sekolah gue tuh maunya apasih megang nilai tka tp ga dikasih ke muridnya YAUDAHLAH KALO JELEK SHARE AJA???!!!!! 😭😭😭,sekolah gue tuh maunya apasih memegang nilai tka tapi tidak dikasih ke muridnya yaudahlah kalau jelek share saja,2,negative,0.994093239
"Tka day 1 :  MTK SUSAH BGT YA ALLAH DEMI APAPUN,  aku cuman tau soal beberapa aja...mana harus ngejar waktu jadinya ikutan panikkk, NANGIS BGT",tka day matematika susah banget ya allah demi apapun aku cuman tau soal beberapa ajamana harus ngejar waktu jadinya ikutan panik menangis banget,2,negative,0.997008979
"Teman-teman, kalau aku pernah secara tidak sengaja berbuat salah pada kalian atau secara tidak sengaja pernah menyakiti hati kalian, tolong dimaafkan, ya. Hari ini aku TKA sesi 3, minta doanya agar aku diberi kelancaran dan semoga mendapatkan nilai di atas 90 🤲🏻",temanteman kalau aku pernah secara tidak sengaja berbuat salah pada kalian atau secara tidak sengaja pernah menyakiti hati kalian tolong dimaafkan ya hari ini aku tka sesi meminta doanya agar aku diberi kelancaran dan semoga mendapatkan nilai di atas,0,positive,0.55604744
ini bneran sklh ku gda info apa² tentang tka??!!,ini benaran sekolah ku tidak ada info apa tentang tka,2,negative,0.98919791
"rate last day tka 4/10, EKONOMI KEHABISAN WAKTUUUU 😩😩😩😩😩😩😩 sosio udh mulai ga fokus karena sedih di eko, but bisa... tapi ya gitu 💔💤",rate last day tka ekonomi kehabisan waktu sosio sudah mulai tidak fokus karena sedih di eko but bisa tapi ya begitu,2,negative,0.993595064
lets be moots guysss!!! terutama akt 26 yg sedang dihantui anomali tka &amp; snbt ･ﾟ･(●´Д｀●)･ﾟ･,lets be moots guys terutama angkatan yang sedang dihantui anomali tka   snbt,2,negative,0.874656737
TKA cuma buat yang angkatan berikutnya lulus atau yang sebelumnnya udah ikut utbk dan masih punya kesempatan ikut juga?,tka cuma buat yang angkatan berikutnya lulus atau yang sebelumnnya sudah ikut utbk dan masih punya kesempatan ikut juga,1,neutral,0.991541564
oon ah bsok sklh malah blum tidur..,oon ah besok sekolah malah belum tidur,2,negative,0.996722162
"@maroshiv Sehari hari dipaksa joyful, meaningful, differentiated learning. Pas assessment TKA ga ada joyful²nya wkwkwk",sehari hari dipaksa joyful meaningful differentiated learning pas assessment tka tidak ada joyfulnya wkwkwk,2,negative,0.991302013
nahh gambaran soal TKA,nah gambaran soal tka,1,neutral,0.976204693
Najis ngpain gua ikut tka TKA HARAM KRNA MNYULITKAN UMAT MANUSIA #fisikagosong,najis ngpain gua ikut tka tka haram karena mnyulitkan umat manusia fisikagosong,2,negative,0.997983456
sch! adakah yang punyaa ebook express erlangga tka,adakah yang punyaa ebook eress erlangga tka,1,neutral,0.995200753
GABISA TIDUR ANJAY KEPIKIRAN NILAI TKA 😭,tidak bisa tidur anjay kepikiran nilai tka,2,negative,0.992527723
lowkey berharap angkatan 2025 kemaren kebagian tka… seenggaknya siswa dari sekolah baru kayak gw ada chance buat lolos snbp 🙃,lowkey berharap angkatan kemarin kebagian tka seenggaknya siswa dari sekolah baru kayak gue ada chance buat lolos snbp,1,neutral,0.515977204
gw ngidap ke lippo banget 😭😭💧 kenapa temen temen gw susah buat diajak.. ya Allah semoga buldep habis tka dan habis sidang bisa main 😭💧,gue ngidap ke lippo banget kenapa teman teman gue susah buat diajak ya allah semoga buldep habis tka dan habis sidang bisa main,1,neutral,0.68927139
"ptn! aku mau mulai belajar snbt dan tka. apa yang harus aku lakuin dulu ya? aku bingung, kebetulan aku belum nyusun belajar snbt dulu apa tka. tolong sarannya, thank you! &lt;3",aku mau mulai belajar snbt dan tka apa yang harus aku melakukan dulu ya aku bingung kebetulan aku belum nyusun belajar snbt dulu apa tka tolong sarannya thank you lantai,1,neutral,0.685631514
tka itu buat snbp atau snbt?,tka itu buat snbp atau snbt,1,neutral,0.852770686
"Aku baru start belajar tka , doain ya aku konsisten dan bisa memahami dengan cepat dalam waktu dekat ini 🙂",aku baru start belajar tka doain ya aku konsisten dan bisa memahami dengan cepat dalam waktu dekat ini,0,positive,0.98379612
"Ak izin jbjb besop besop aja ya muts, Kayanya darah rendah ak kambuh mulu dah, dari kmrn-kmrn lemes banget, puyeng dan ngantukan parah (terakhir kali cek hb sblm tka sekitar 10 koma brp gt dah)",aku izin jbjb besop besop saja ya muts kayanya darah rendah aku kambuh mulu sudah dari kmrnkmrn lemes banget puyeng dan ngantukan parah terakhir kali cek hb sebelum tka sekitar koma berapa begitu sudah,2,negative,0.995899498
klo besok aku ngilang berarti lagi pingsan liat nilai tka mks,kalau besok aku menghilang berarti lagi pingsan lihat nilai tka mks,2,negative,0.982821465
"abis ngerjain to tka mipy, ternyata masih banyak yang belum aku paham.. gapapa, sekarang jadi tau mau belajar apa 🙌🏻",habis ngerjain try out tka mipy ternyata masih banyak yang belum aku paham gapapa sekarang jadi tau mau belajar apa,1,neutral,0.761944711
"manteman, adakah yg freetag buat to tka pahamify? 🥺",manteman adakah yang freetag buat try out tka pahamify,1,neutral,0.957885861
"KETAUAN CURANG DI TKA SEGERA KITA EKSEKUSI
KETAUAN CURANG DI TKA SEGERA KITA EKSEKUSI
KETAUAN CURANG DI TKA SEGERA KITA EKSEKUSI
KETAUAN CURANG DI TKA SEGERA KITA EKSEKUSI
KETAUAN CURANG DI TKA SEGERA KITA EKSEKUSI
KETAUAN CURANG DI TKA SEGERA KITA EKSEKUSI",ketahuan curang di tka segera kita eksekusi ketahuan curang di tka segera kita eksekusi ketahuan curang di tka segera kita eksekusi ketahuan curang di tka segera kita eksekusi ketahuan curang di tka segera kita eksekusi ketahuan curang di tka segera kita eksekusi,2,negative,0.918032289
pls ak jangan sakit.... besok tka😭😭😭😭😭😭😭😭😭😭😭😭😭😭,tolong aku jangan sakit besok tka,2,negative,0.985609233
guys menurut kalian soal soal TKA nanti bakal mirip ga ya sama soal soal TKA di UTBK beberapa tahun lalu? ptn!,guys menurut kalian soal soal tka nanti bakal mirip tidak ya sama soal soal tka di utbk beberapa tahun lalu,1,neutral,0.517928243
gusy siapa yg langganan paket tka mipy??? worth it kah??? penjelasannya enak ga???,guys siapa yang langganan paket tka mipy worth itu kah penjelasannya enak tidak,0,positive,0.967358649
"HASIL TKA DAH DIUMUMIN AMA GURUKU T-T

Alhamdulillahnya bagus 😭😭😭

Meski MTK-ku masih 50-an, seenggaknya dah masuk kategori istimewa T-T

Nggak nyangka B.Indo ama Sejarah bisa 90-an T-T

Pokoknya makasih kepada guru serta segala novel dan FF yang kubaca &lt;3",hasil tka sudah diumumin sama guruku tt alhamdulillahnya bagus meski mtkku masih an seenggaknya sudah masuk kategori istimewa tt tidak menyangka bahasa indonesia sama sejarah bisa an tt pokoknya terima kasih kepada guru serta segala novel dan ff yang kubaca lantai,0,positive,0.994058371
sebenernya tka b indo belajar apa aja sih?,sebenarnya tka b indonesia belajar apa saja sih,1,neutral,0.967097104
saran aplikasi untuk belajar TKA dongg guysss 🫠,saran aplikasi untuk belajar tka dong guys,1,neutral,0.990666807
guys aku baru selesai sm unair utbk+ kira kira mau aku review ga ya? btw aku tka nya biokim yaa,guys aku baru selesai sama unair utbk kira kira mau aku review tidak ya btw aku tka nya biokim ya,1,neutral,0.990360141
HEH CO TKA UDAH H- KEPALA 6 DAWWGGG,heh cowok tka sudah h kepala dawwg,2,negative,0.991011977
"awas aja klo gmmtv 2026 barengan sm TKA, gua pukul si ceo mungil itu",awas saja kalau gmmtv barengan sama tka gua pukul sih ceo mungil itu,2,negative,0.982358754
"sekolah jelek, nilai tka dari kmrn blm dibagiin",sekolah jelek nilai tka dari kemarin belum dibagiin,2,negative,0.997937083
Guys ada yg punya pdf to tka soshum gaa dari to gratisan gitu,guys ada yang punya pdf try out tka soshum tidak dari try out gratisan begitu,1,neutral,0.99052155
"@tanyakanrl kl kisi-kisi tka sesuai sama soal yg diuji, aku yakin nilainya gak sejeblok ini. belajarnya apa yg keluar soal lain wtf LAAH AKU BENCI TKA",kalau kisikisi tka sesuai sama soal yang diuji aku yakin nilainya tidak sejeblok ini belajarnya apa yang keluar soal lain wtf laah aku benci tka,2,negative,0.975461304
"haii aku baru on di akun ini lagi after healing tka dan menyelesaikan lpj osis, finally sebentar lagi demis 🫨",hai aku baru on di akun ini lagi after healing tka dan menyelesaikan lpj osis finally sebentar lagi demis,1,neutral,0.937347412
Hari ini gladi bersih TKA aaaaaaaaaaa ;-;,hari ini gladi bersih tka a,1,neutral,0.606666207
"Random! mau tanya plss yang tau mohon dijawab yaa😔😔 itu…hasil TKA nanti yang bisa akses itu per anak masing masing kan??(maksudnya ga di share semua…jadi yang bisa liat cuma orang masing” aja, temen” lain gabisa)(?)",random mau tanya plss yang tau mohon dijawab ya ituhasil tka nanti yang bisa akses itu per anak masing masing kanmaksudnya tidak di share semuajadi yang bisa lihat cuma orang masing saja teman lain tidak bisa,1,neutral,0.579135716
"ini udah di titik pengen nangis gara² nilai TKA belum dishare juga sama sekolah... masa dishare pas masuk sekolah sih, AAAA TOLONGG MERIANG AKU NUNGGU NILAI TKA",ini sudah di titik pengin menangis gara nilai tka belum dishare juga sama sekolah masa dishare pas masuk sekolah sih a tolongg meriang aku menunggu nilai tka,2,negative,0.997512221
Tutorial tuntas belajar buat TKA ditengah banyakny tugas,tutorial tuntas belajar buat tka ditengah banyakny tugas,1,neutral,0.579063952
"guysss pliss, mending beli yg mana ya kalau mau belajar buat TKA, gercep, kompeten, atau the king TKA????🙏🏻🙏🏻🙏🏻, plisssss",guys pliss mending beli yang mana ya kalau mau belajar buat tka gercep kompeten atau the king tka tolong,1,neutral,0.756595194
meninggal seems easier than ngerjain TKA,meninggal seems easier tahan ngerjain tka,2,negative,0.974292099
"HOI INI KENAPA OKTOBER NOVEMBER KEDEBAG KEDEBUG BANGET WOYYY 😭😭😭 ADA VOTE MAMA, SOLO YJ, SAMA TKA AMNJINK APA COBA GINI AMAT JADI AGIT 💔💔💔💔💔",hoi ini kenapa oktober november kedebag kedebug banget woy ada vote mama solo yj sama tka amnjink apa coba begini amat jadi kelas tiga,2,negative,0.996463478
"sch! guys mau tanya kita kan nnt TKA ambil 2 mapel pilihan ya, brrti kita belajar mapel yang wajib sama 2 mapel itu aja kan ya? btw bolee spill kisi” yang rinci gaak? aku blm nemu makasihh!",guys mau tanya kita kan nanti tka ambil mata pelajaran pilihan ya berarti kita belajar mata pelajaran yang wajib sama mata pelajaran itu saja kan ya btw bolee spill kisi yang rinci gaak aku belum nemu makasihh,1,neutral,0.716656089
"Stop adu nasib nilai tka, nilai bagus anjeng",stop adu nasib nilai tka nilai bagus anjeng,2,negative,0.952034771
"sch! aku mau tanya plis plis(tp kynya udh telat bgt)😭😭😭 aku TKA ambil sosio eko tp besok kuliah mau di ILMU KOMUNIKASI, pls bingung bgt BISA NGGA????😭😭😭😭😭😭😭 aku pngn bgt ilkomm😔😔",aku mau tanya tolong plistp kynya sudah telat banget aku tka ambil sosio eko tapi besok kuliah mau di ilmu komunikasi tolong bingung banget bisa tidak aku pengin banget ilkomm,2,negative,0.555495381
sch! adakah yang berlangganan ruang belajar + utbk + tka nya ruang guru? boleh di jelasin ga + testi nya juga ya soal nya mau beli paket itu terimakasih,adakah yang berlangganan ruang belajar utbk tka nya ruang guru boleh di jelasin tidak testimoni nya juga ya soal nya mau beli paket itu terimakasih,1,neutral,0.959448159
aku sbnrnya suka dan cintamati sm fisika tp knp tka susah bgt tonya ya Allah turunkanlah otak orang cerdas kpdku amin,aku sbnrnya suka dan cintamati sama fisika tapi kenapa tka susah banget tonya ya allah turunkanlah otak orang cerdas kpdku amin,0,positive,0.976813793
"📝 Masih Bisa! Prime TKA SMA Rp89.000 📝
Akses semua materi di aplikasi selama 1 bulan dan dapet 3x TO TKA Premium beserta pembahasan video dan teks",masih bisa prime tka sama rp akses semua materi di aplikasi selama bulan dan dapat kali try out tka premium beserta pembahasan video dan teks,1,neutral,0.985777438
nilai tka sekolahku belum dibagiin padahal dah oenasaran berat,nilai tka sekolahku belum dibagiin padahal sudah oenasaran berat,2,negative,0.991344333
Guys tka tuh khusus buat kelas 12 bukan? Yang Gap berarti gak ada ya?,guys tka tuh khusus buat kelas bukan yang gap berarti tidak ada ya,1,neutral,0.983779609
"aku nyoba simulasi TKA sosiologi yg dari Pusmendik, syok bngt cuma salah 1 dari 20 soal??!😭😭🫶🏻",aku mencoba simulasi tka sosiologi yang dari pusmendik syok banget cuma salah dari soal,2,negative,0.939154208
"@AdilAdiany1 Saya telusuri kesaksian purnawirawan IMIP Morowali. Klaim soal penyembunyian TKA saat inspeksi belum diverifikasi independen, ada bantahan dari pihak seperti Ronald Sinaga. Sumber beragam menunjukkan perdebatan, bukan fakta mutlak. Apa yang ingin diklarifikasi?",saya telusuri kesaksian purnawirawan imip morowali klaim soal penyembunyian tka saat inspeksi belum diverifikasi independen ada bantahan dari pihak seperti ronald sinaga sumber beragam menunjukkan perdebatan bukan fakta mutlak apa yang ingin diklarifikasi,1,neutral,0.616198778
"Teman timun yang hari ini TKA semangat yaa, good luck aamiin 🫶🏻🫶🏻 jangan lupa sarapan sama berdoa dulu yaa🫶🏻🫶🏻",teman timun yang hari ini tka semangat ya good luck amin jangan lupa sarapan sama berdoa dulu ya,0,positive,0.615728021
"Trus dibandingin sama UN. Kayak kalian tu aja gak ngerjain soal tka, malah dibandingin sama UN. Kemarin aja aku belajar dari sumber UN, malah gampangan UN ya daripada TKA. Alhasil nyesel karna belajar dari sumber UN yg jelas jelas soalnya beda banget.",terus dibandingin sama un kayak kalian itu saja tidak ngerjain soal tka malah dibandingin sama un kemarin saja aku belajar dari sumber un malah gampangan un ya daripada tka alhasil menyesal karena belajar dari sumber un yang jelas jelas soalnya beda banget,2,negative,0.992216945
"@sikap26gasutbk Kata adikku soalnya rata2 di level soal osn, cuma sedikit yang lebih rendah levelnya. Di osn dikasih waktu 4 menit 1 soal, tka 2 menit, ya gimana ga gitu nilainya.. 🤷🏻‍♀️",kata adikku soalnya rata di level soal osn cuma sedikit yang lebih rendah levelnya di osn dikasih waktu menit soal tka menit ya bagaimana tidak begitu nilainya,2,negative,0.937600732
makin hari makin takut snbp gara2 anomali bernama tka,makin hari makin takut snbp gara anomali bernama tka,2,negative,0.987893999
"belajar TKA, STS, TO sekaligus tiap hari, sumpah rasanya otak kek mau jebol",belajar tka sts try out sekaligus tiap hari sumpah rasanya otak kayak mau jebol,2,negative,0.986231029
grrrrrr sdh wktunya mengorbankan waktu tidur demi tka,gr sudah waktunya mengorbankan waktu tidur demi tka,2,negative,0.808239698
bahkan gw udah lupa pernah ikut TKA,bahkan gue sudah lupa pernah ikut tka,1,neutral,0.597855389
"Eh kok udah banyak yg simulasi TKA dari sekolahnya, sekolah aku blm ngasih tau apapun tentang TKA 😭😭",eh kok sudah banyak yang simulasi tka dari sekolahnya sekolah aku belum mengasih tau apapun tentang tka,2,negative,0.985813558
PTN! Untuk yang mau ngambil jurusan hukum buat SNBP 2 mapel TKA pilihan yang harus dipilih apa yaa?,untuk yang mau ngambil jurusan hukum buat snbp mata pelajaran tka pilihan yang harus dipilih apa ya,1,neutral,0.96861577
"[cm] guys yg daftar S2, kalian belajar TKA di mana? apakah ada saran web atau yt channel? btw TKA untuk jurusan soshum dan saintek apakah sama atau beda ya? makasih guys",cuma guys yang daftar si kalian belajar tka di mana apakah ada saran web atau yt channel btw tka untuk jurusan soshum dan saintek apakah sama atau beda ya terima kasih guys,1,neutral,0.899427354
"Kan. Dibilang juga apa. Gimana mau nuntut. Orang yang dituntut satunya jadi presiden, satunya lagi jadi pahlawan. Aneh lu semua yang milih dia dari awal gak ngeliat hal ini.",kan dibilang juga apa bagaimana mau menuntut orang yang dituntut satunya jadi presiden satunya lagi jadi pahlawan aneh kamu semua yang memilih dia dari awal tidak melihat hal ini,2,negative,0.997152567
h-2 tka gak belajar 😝,h tka tidak belajar,2,negative,0.994115353
"jadi pengen coba ngerjain to tka di mipy deh, tapi mipyku udah aku uninstall😔",jadi pengin coba ngerjain try out tka di mipy deh tapi mipyku sudah aku uninstall,1,neutral,0.99143362
"pejuang utbk or mandiri 2026 ada yang mau kah.. numpuk di rumah sumpah. TINGGAL BAYAR ONGKIR AJA
t. buku utbk tka soshum mandiri simak ui utul ugm snbt",pejuang utbk atau mandiri ada yang mau kah numpuk di rumah sumpah tinggal bayar ongkir saja t buku utbk tka soshum mandiri simak ui utul ugm snbt,1,neutral,0.986159027
pengumuman eli sama hasil tka tuh kapansih,pengumuman eli sama hasil tka tuh kapansih,1,neutral,0.756111503
"bye tka, assalamualaikum utbk..",bye tka assalamualaikum utbk,1,neutral,0.871685088
ptn! belajar materi PPKN buat tka dari mana ya?,belajar materi ppkn buat tka dari mana ya,1,neutral,0.941336274
"KAKKK HONESTLY aku akan dengan pede bilang kalo bahasa Inggris aku bagus, most of the students in my school are also taking IELTS preparation classes and most of them got average band of 6, tapi entah kenapa, di TKA ini, nilainya tuh agak susah nyampe di 80-90—",kak honestly aku akan dengan percaya diri bilang kalau bahasa inggris aku bagus most of the students ini my school are also taking ielts preparation classes and most of them got average band of tapi entah kenapa di tka ini nilainya tuh agak susah sampai di,2,negative,0.525359929
"gaiss help seminggu ini galau mau fokusin ke tka atau utbk, mending prioritasin yg mana yhh?",gaiss help seminggu ini galau mau fokusin ke tka atau utbk mending prioritasin yang mana yhh,2,negative,0.976026356
sumpah tunggakan go udh 353 😓 belum muncul semangat belajar yang membara lg after tka,sumpah tunggakan go sudah belum muncul semangat belajar yang membara lagi after tka,0,positive,0.812637925
hello guys kalian yang ikut TKA atur jadwal belajarnya seminggu kayak gimana? dan sumber belajarnya kalau mandiri dari mana yaa? aku bingung banget huhu T____T terima kasih sebelumnya. . .,hello guys kalian yang ikut tka atur jadwal belajarnya seminggu kayak bagaimana dan sumber belajarnya kalau mandiri dari mana ya aku bingung banget huhu tt terima kasih sebelumnya,2,negative,0.644366622
jangan diini iniin banget ket kesenengan itu chikuy @N_CathyJKT48,jangan diini iniin banget ket kesenengan itu chikuy,2,negative,0.993496299
demi keselamatan kewarasanku di gempuran tka ini aku tetep main roblox #BATALKANTKA,demi keselamatan kewarasanku di gempuran tka ini aku tetap main roblox batalkantka,1,neutral,0.725953937
sch! ges berarti besok pengumuman eligible dulu ya baru pelaksanaan tka??,guys berarti besok pengumuman eligible dulu ya baru pelaksanaan tka,1,neutral,0.996087432
takut banget sama tka.. pasrah sama hasilnya tapi siapa sih yang gaa mau kalau lolos snbp? :( wish me luck tka gel 2 sesi 1!,takut banget sama tka pasrah sama hasilnya tapi siapa sih yang tidak mau kalau lolos snbp wish me luck tka gelombang sesi,0,positive,0.711533844
"Bjirlah, harus udah nyicil bljr buat tka yh, magerr😔",bjirlah harus sudah mencicil belajar buat tka ya magerr,2,negative,0.731179655
"assalamualaikum snbp
assalamualaikum tka
assalamualaikum utbk 
assalamualaikum agit
bye bye kewarasanku",assalamualaikum snbp assalamualaikum tka assalamualaikum utbk assalamualaikum kelas tiga bye bye kewarasanku,1,neutral,0.826322973
TKA ujian jenis apa si😭😭,tka ujian jenis apa sih,2,negative,0.888601601
kemarin kemarin ditawarin jadi asisten pengawas sampe 3 kali dan ku tolak mentah-mentah 😭😭😭😭 demi Allah kerjanya gak ngotak dan mental gw gak sekuat itu buat ngadepin langsung TKA gw yang rewelnya kebangetan 😭,kemarin kemarin ditawarin jadi asisten pengawas sampai kali dan ku tolak mentahmentah demi allah kerjanya tidak ngotak dan mental gue tidak sekuat itu buat ngadepin langsung tka gue yang rewelnya kebangetan,2,negative,0.886656284
"@YakNunJourney nah kalo bisa ngganya masuk univ dibalikin ke takdir kak😅 TKA itu kek validator, kalo nilai rapot bagus &amp; hasil TKA bagus, berarti dianggep nilai rapotnya ""bener"".
tapi kalo rapot bagus &amp; Tka jelek, nilai rapot bakal ""dipertanyakan"", jd kemungkinan lolos univnya makin kecil",nah kalau bisa ngganya masuk universitas dibalikin ke takdir kak tka itu kayak validator kalau nilai rapot bagus   hasil tka bagus berarti dianggep nilai rapotnya benar tapi kalau rapot bagus   tka jelek nilai rapot bakal dipertanyakan jadi kemungkinan lolos univnya makin kecil,2,negative,0.952574611
ko feeling gue soal tka mirip mirip utbk yah,kok feeling gue soal tka mirip mirip utbk ya,2,negative,0.727619827
infokan rekomendasi buku drill soal UTBK 2026 sama TKA pls,infokan rekomendasi buku drill soal utbk sama tka tolong,1,neutral,0.998345256
prri lg tka juga ya makanya depresi jg,prri lagi tka juga ya makanya depresi juga,2,negative,0.997493744
untung aku 2025 ya Allah gada tka,untung aku ya allah tidak ada tka,0,positive,0.872297704
"sch! SNBP se ghoib itu kah? Katanya nilai gede gak mesti lolos, nilai kecil ga mesti gagal terus rasionalisasi gak penting yak? Apalagi ada TKA kan jadi keliatan kalo snbp bener bener bonus😇",snbp se ghoib itu kah katanya nilai gede tidak mesti lolos nilai kecil tidak mesti gagal terus rasionalisasi tidak penting ya apalagi ada tka kan jadi kelihatan kalau snbp benar benar bonus,2,negative,0.763289511
shock liat bocoran soal TKA adik adik,shock lihat bocoran soal tka adik adik,2,negative,0.99159652
"@Kemdikdasmen @suyoupsht pelaksanaan TKA gagal krn banyak yg curang, masih aja bangga mau diumumin",pelaksanaan tka gagal karena banyak yang curang masih saja bangga mau diumumin,2,negative,0.99663049
duhhh besok simulasi TKA😭😭,duh besok simulasi tka,1,neutral,0.743434131
"RIBET, DARIAWAL EMANG GAJELAS NI TKA",ribet dariawal memang tidak jelas nih tka,2,negative,0.997723758
Anak smk liat TKA udh log out duluan,anak smk lihat tka sudah nyerah duluan,2,negative,0.562019765
